Company,Industry,Social_Media_Presence,Follower_Count,Engagement_Rate,Brand_Awareness_Score,Sales_Revenue,Market_Capitalization,Employee_Count,Year_Founded,Headquarters
Samsung Electronics,Electronics,High,"1,00,00,000",5.6,8.9,225,352,"3,00,000",1969,South Korea
Apple Inc.,Technology,High,"1,50,00,000",6.8,9.5,365,2.42,"1,47,000",1976,United States
Huawei Technologies,Telecommunications,Medium,"50,00,000",3.2,7.2,122,0,"1,94,000",1987,China
Sony Corporation,Electronics,High,"80,00,000",4.1,8.1,77,138,"1,11,700",1946,Japan
LG Electronics,Electronics,Medium,"40,00,000",2.9,6.9,56,17,"75,000",1958,South Korea
Panasonic Corporation,Electronics,Low,"10,00,000",1.5,5.2,71,22,"2,71,869",1918,Japan
Intel Corporation,Technology,High,"70,00,000",3.8,7.8,77,222,"1,16,000",1968,United States
Microsoft Corporation,Technology,High,"90,00,000",4.6,8.5,168,2.04,"1,81,000",1975,United States
Cisco Systems Inc.,Technology,Medium,"30,00,000",2.2,6.1,49,233,"80,000",1984,United States
Dell Technologies Inc.,Technology,High,"60,00,000",3.5,7.4,92,77,"1,57,000",1984,United States
Hewlett-Packard Enterprise,Technology,High,"65,00,000",3.9,7.6,96,23,"59,400",2015,United States
Philips,Electronics,Medium,"45,00,000",2.7,6.6,21,44,"82,000",1891,Netherlands
IBM Corporation,Technology,High,"75,00,000",4.3,8.3,73,110,"3,52,600",1911,United States
Xiaomi Corporation,Electronics,High,"1,20,00,000",5.2,8.7,26,50,"23,798",2010,China
Hitachi Ltd.,Electronics,Low,"15,00,000",1.8,5.6,81,47,"3,02,262",1910,Japan
Toshiba Corporation,Electronics,Medium,"55,00,000",3.1,7,35,18,"1,32,000",1939,Japan
Sharp Corporation,Electronics,Low,"20,00,000",2,5.8,12,3,"50,000",1912,Japan
NEC Corporation,Technology,Medium,"35,00,000",2.5,6.4,27,9,"1,09,000",1899,Japan
Siemens AG,Technology,High,"78,00,000",4.4,8.2,85,110,"2,95,000",1847,Germany
Fujitsu Limited,Technology,Medium,"48,00,000",2.8,6.8,40,18,"1,29,000",1935,Japan
Lenovo Group Limited,Technology,High,"1,05,00,000",5.1,8.8,60,16,"63,000",1984,China
ASUSTeK Computer Inc.,Electronics,High,"82,00,000",4.2,8,45,17,"19,000",1989,Taiwan
Acer Inc.,Technology,Medium,"42,00,000",2.6,6.5,19,2,"7,000",1976,Taiwan
Nokia Corporation,Telecommunications,Medium,"43,00,000",2.7,6.6,23,26,"98,000",1865,Finland
Motorola Solutions Inc.,Telecommunications,Medium,"32,00,000",2.3,6.2,8,30,"17,000",2011,United States
BlackBerry Limited,Telecommunications,Low,"12,00,000",1.4,5,1,4,"3,000",1984,Canada
Amazon.com Inc.,E-commerce,High,"1,35,00,000",5.8,9.1,386,1.77,"12,98,000",1994,United States
Google LLC,Technology,High,"1,40,00,000",6.2,9.3,181,1.84,"1,35,301",1998,United States
Facebook Inc.,Technology,High,"1,60,00,000",7.1,9.7,86,1.07,"77,105",2004,United States
Twitter Inc.,Technology,High,"1,10,00,000",5.3,8.6,3,30,"4,600",2006,United States
Adobe Inc.,Technology,High,"95,00,000",4.7,8.4,16,324,"22,000",1982,United States
Oracle Corporation,Technology,High,"85,00,000",4,7.7,39,194,"1,36,000",1977,United States
Western Digital Corporation,Technology,Medium,"46,00,000",2.8,6.7,16,20,"63,400",1970,United States
Seagate Technology,Technology,Medium,"36,00,000",2.4,6.3,10,15,"43,000",1979,United States
Sony Corporation,Electronics,High,"80,00,000",4.1,8.1,82,140,"1,11,700",1946,Japan
Panasonic Corporation,Electronics,Low,"10,00,000",1.5,5.2,71,22,"2,71,869",1918,Japan
LG Electronics,Electronics,Medium,"40,00,000",2.9,6.9,56,17,"75,000",1958,South Korea
